 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21
25,35.807,29.626,30.969,29.602,29.821,35.408,36.166,27.432,30.604,26.195,22.405,22.533,22.810,22.579,22.980,25.447,26.600,24.436,25.689,24.300,20.722
26,35.717,29.616,30.574,29.272,28.851,34.191,35.021,27.472,30.537,25.586,22.307,22.239,22.427,22.315,22.917,25.484,26.320,24.120,25.698,24.138,20.627
27,35.734,29.643,30.214,28.563,29.127,33.467,33.713,27.419,29.947,25.305,22.263,21.865,22.256,22.186,22.953,25.303,26.407,24.257,25.936,24.360,20.474
28,35.463,29.103,29.755,28.370,28.921,32.397,32.760,27.193,29.332,24.960,22.263,21.776,22.009,22.108,22.887,25.364,26.214,24.083,25.626,24.236,20.377
29,35.227,29.491,29.824,28.383,28.409,31.753,32.051,27.474,29.081,24.921,22.048,21.564,21.697,21.988,22.788,25.349,26.170,23.804,25.609,24.187,20.474
30,35.439,29.395,29.358,28.121,28.164,30.873,31.280,27.499,28.862,24.824,22.162,21.637,21.633,21.947,22.842,25.468,26.105,23.841,25.757,24.276,20.386
31,35.318,29.463,29.357,28.484,28.218,30.580,30.766,27.246,28.654,24.824,21.998,21.529,21.460,21.904,22.804,25.492,26.125,23.963,26.047,24.222,20.278
32,35.198,29.371,29.275,28.462,28.695,30.292,30.400,27.369,28.654,24.563,22.158,21.498,21.235,21.855,22.738,25.476,26.141,23.706,26.030,24.222,20.215
33,35.105,29.506,29.465,28.153,28.333,29.803,30.108,27.221,28.406,24.717,22.255,21.548,21.210,21.830,22.721,25.297,26.182,23.650,25.843,24.171,20.110
34,35.192,29.641,29.356,28.002,28.139,29.497,29.753,27.445,28.205,24.426,22.208,21.309,21.210,21.818,22.746,25.319,26.071,23.681,25.702,24.171,20.135
35,35.212,29.288,29.440,27.983,27.859,29.223,29.528,27.249,28.163,24.449,22.060,21.417,21.206,21.845,22.765,25.314,25.940,23.542,25.566,23.936,20.106
36,35.079,29.408,29.391,27.877,27.457,28.837,29.144,27.427,27.905,24.495,22.156,21.309,21.024,21.741,22.758,25.309,26.024,23.863,25.902,24.093,20.176
