 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10
284,75.060,80.751,61.688,73.478,61.715,60.427,58.859,65.139,73.792,66.048
285,75.099,80.056,61.518,72.998,62.217,59.637,58.907,64.508,74.338,64.880
286,75.708,79.160,62.224,72.362,61.657,59.548,58.877,65.120,73.295,66.317
287,75.485,78.295,62.063,72.428,61.285,59.068,58.763,64.057,73.416,65.249
288,75.524,77.191,62.433,72.245,61.680,59.132,59.121,64.770,73.057,65.169
289,74.347,77.165,61.310,71.320,61.524,58.512,59.267,64.924,73.474,64.892
290,75.591,77.118,61.792,71.480,61.217,58.936,58.859,64.628,73.693,65.333
291,75.085,75.759,62.533,71.581,61.456,57.790,58.674,64.164,73.523,65.743
292,74.315,75.478,62.622,71.035,61.305,58.448,58.483,64.503,73.226,64.859
293,76.789,75.373,62.367,71.193,61.166,58.975,59.028,65.366,73.352,64.892
294,84.995,74.657,61.888,71.179,61.249,58.719,58.935,64.765,73.181,65.129
295,83.124,74.538,61.849,70.986,61.358,58.616,59.111,64.601,73.378,65.052
296,80.517,74.641,62.163,70.661,61.222,58.431,58.382,64.995,73.457,65.867
297,79.441,73.862,61.933,70.365,61.134,58.046,58.434,64.918,73.217,64.325
298,77.800,73.207,61.871,70.781,61.264,58.562,58.987,64.904,72.956,64.562
299,77.234,73.494,62.286,70.736,60.814,57.843,59.450,64.809,72.804,65.586
300,75.986,72.923,61.620,70.136,60.844,58.434,58.629,64.311,72.645,65.153
301,75.745,73.594,62.286,70.614,61.748,59.036,58.536,64.694,73.491,64.570
302,75.002,72.704,61.931,70.628,60.572,58.505,58.907,64.221,72.801,64.430
303,75.823,72.940,61.594,70.572,60.584,58.605,59.205,64.634,72.794,63.952
304,75.552,72.939,61.435,70.501,60.972,58.776,59.179,64.913,73.283,64.815
305,75.269,73.045,61.871,70.386,61.176,57.851,59.083,64.986,73.060,65.173
306,76.041,72.318,62.080,70.668,61.101,58.502,58.803,65.527,72.596,64.510
307,75.002,73.382,62.147,70.435,60.693,58.221,58.773,64.456,73.075,64.209
308,74.641,72.433,61.910,70.082,60.866,57.954,59.013,64.730,72.582,64.052
309,76.037,72.525,62.202,69.687,61.131,58.587,59.336,64.041,73.692,64.590
310,74.936,72.143,61.657,70.089,60.438,58.808,58.988,64.451,73.156,63.888
311,75.064,72.002,61.724,70.788,61.668,58.769,59.036,64.358,72.875,64.683
312,75.094,72.152,61.973,70.066,60.698,58.801,58.502,64.893,73.453,63.635
313,75.214,72.047,62.245,70.348,60.859,58.516,59.308,64.932,72.825,64.639
314,75.048,71.942,62.200,70.226,61.408,58.669,59.300,64.448,73.412,64.430
315,74.575,72.699,62.069,69.899,60.509,57.797,58.627,64.538,73.378,64.008
316,75.007,71.989,62.410,70.158,60.884,58.427,59.137,64.669,73.604,64.755
317,73.966,71.823,61.851,69.551,61.048,58.726,58.662,64.366,72.572,63.406
